run_key,tag,evals
main/cec2022_F01_D10/TFO/full/3,deep_lying_playmaker,11482
main/cec2022_F01_D10/TFO/full/3,box_to_box,27283
main/cec2022_F01_D10/TFO/full/3,destroyer,14074
main/cec2022_F01_D10/TFO/full/3,virtuoso,59994
main/cec2022_F01_D10/TFO/full/3,finisher,15224
main/cec2022_F01_D10/TFO/full/3,formation,0
main/cec2022_F01_D10/TFO/full/3,rotation,0
main/cec2022_F01_D10/TFO/full/3,possession,7058
main/cec2022_F01_D10/TFO/full/3,pressing,23123
main/cec2022_F01_D10/TFO/full/3,counter_attack,45
main/cec2022_F01_D10/TFO/full/3,set_pieces,1144
main/cec2022_F01_D10/TFO/full/3,offside,0
main/cec2022_F01_D10/TFO/full/3,substitutions,0
main/cec2022_F01_D10/TFO/full/3,fatigue,0
main/cec2022_F01_D10/TFO/full/3,var_review,0
main/cec2022_F01_D10/TFO/full/3,manager,0
main/cec2022_F01_D10/TFO/full/3,neutral,0
main/cec2022_F01_D10/TFO-static/static/3,init,30
main/cec2022_F01_D10/TFO-static/static/3,sweeper_keeper,0
main/cec2022_F01_D10/TFO-static/static/3,zonal_centre_back,25076
main/cec2022_F01_D10/TFO-static/static/3,overlapping_wing_back,23825
main/cec2022_F01_D10/TFO-static/static/3,deep_lying_playmaker,3161
main/cec2022_F01_D10/TFO-static/static/3,box_to_box,25398
main/cec2022_F01_D10/TFO-static/static/3,destroyer,10012
main/cec2022_F01_D10/TFO-static/static/3,virtuoso,12025
main/cec2022_F01_D10/TFO-static/static/3,finisher,2971
main/cec2022_F01_D10/TFO-static/static/3,formation,0
main/cec2022_F01_D10/TFO-static/static/3,rotation,0
main/cec2022_F01_D10/TFO-static/static/3,possession,8537
main/cec2022_F01_D10/TFO-static/static/3,pressing,87537
main/cec2022_F01_D10/TFO-static/static/3,counter_attack,45
main/cec2022_F01_D10/TFO-static/static/3,set_pieces,1383
main/cec2022_F01_D10/TFO-static/static/3,offside,0
main/cec2022_F01_D10/TFO-static/static/3,substitutions,0
main/cec2022_F01_D10/TFO-static/static/3,fatigue,0
main/cec2022_F01_D10/TFO-static/static/3,var_review,0
main/cec2022_F01_D10/TFO-static/static/3,manager,0
main/cec2022_F01_D10/TFO-static/static/3,neutral,0
main/cec2022_F01_D10/TFO/full/4,init,30
main/cec2022_F01_D10/TFO/full/4,sweeper_keeper,0
main/cec2022_F01_D10/TFO/full/4,zonal_centre_back,20456
main/cec2022_F01_D10/TFO/full/4,overlapping_wing_back,18760
main/cec2022_F01_D10/TFO/full/4,deep_lying_playmaker,12292
main/cec2022_F01_D10/TFO/full/4,box_to_box,26224
main/cec2022_F01_D10/TFO/full/4,destroyer,14743
main/cec2022_F01_D10/TFO/full/4,virtuoso,63478
main/cec2022_F01_D10/TFO/full/4,finisher,15486
main/cec2022_F01_D10/TFO/full/4,formation,0
main/cec2022_F01_D10/TFO/full/4,rotation,0
main/cec2022_F01_D10/TFO/full/4,possession,6945
main/cec2022_F01_D10/TFO/full/4,pressing,20366
main/cec2022_F01_D10/TFO/full/4,counter_attack,90
main/cec2022_F01_D10/TFO/full/4,set_pieces,1130
main/cec2022_F01_D10/TFO/full/4,offside,0
main/cec2022_F01_D10/TFO/full/4,substitutions,0
main/cec2022_F01_D10/TFO/full/4,fatigue,0
main/cec2022_F01_D10/TFO/full/4,var_review,0
main/cec2022_F01_D10/TFO/full/4,manager,0
main/cec2022_F01_D10/TFO/full/4,neutral,0
main/cec2022_F01_D10/TFO-static/static/4,init,30
main/cec2022_F01_D10/TFO-static/static/4,sweeper_keeper,0
main/cec2022_F01_D10/TFO-static/static/4,zonal_centre_back,24724
main/cec2022_F01_D10/TFO-static/static/4,overlapping_wing_back,20697
main/cec2022_F01_D10/TFO-static/static/4,deep_lying_playmaker,4350
main/cec2022_F01_D10/TFO-static/static/4,box_to_box,22209
main/cec2022_F01_D10/TFO-static/static/4,destroyer,11875
