schema_version,run_key,experiment,suite,cell_id,function_id,dim,algorithm,variant_id,config_hash,run,seed,budget,evals_used,evals_internal,status,best_f,f_star,error,max_violation,wall_time_s,objective_time_s,n_iterations,n_state_transitions,occ_build_up,occ_control,occ_high_press,occ_chasing,n_counter_attacks,n_substitutions,n_var_rollbacks,n_set_pieces,final_possession_rate
1,main/cec2017_F01_D30/GA/default/0,main,cec2017,cec2017_F01_D30,F01,30,GA,default,,0,1764355132,300000,300000,,ok,1527.296719020358,100.0,1427.296719020358,,2.5539790049999738,0.450563816,,,,,,,,,,,
1,main/cec2017_F01_D30/PSO/default/0,main,cec2017,cec2017_F01_D30,F01,30,PSO,default,,0,1764355132,300000,300000,,ok,10267978968.110533,100.0,10267978868.110533,,0.9523302500000455,0.410059881,,,,,,,,,,,
1,main/cec2017_F01_D30/GWO/default/0,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,0,1764355132,300000,300000,,ok,1775230518.4156759,100.0,1775230418.4156759,,1.1192518220000238,0.365955602,,,,,,,,,,,
1,main/cec2017_F01_D30/CA/default/0,main,cec2017,cec2017_F01_D30,F01,30,CA,default,,0,1764355132,300000,300000,,ok,396.25043392900204,100.0,296.25043392900204,,6.307342788999904,0.874791217,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/0,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,0,1764355132,300000,300000,300000,ok,1663432.6451385138,100.0,1663332.6451385138,,32.22967540700006,7.901323808,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO/full/0,main,cec2017,cec2017_F01_D30,F01,30,TFO,full,,0,1764355132,300000,300000,300000,ok,613986.4191953267,100.0,613886.4191953267,,33.437370203,8.050804902,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/0,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,0,1764355132,300000,300000,,ok,100.29704999491959,100.0,0.2970499949195897,,66.98639034500002,11.000693595,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO/full/1,main,cec2017,cec2017_F01_D30,F01,30,TFO,full,,1,1118882044,300000,300000,300000,ok,411890.0857490196,100.0,411790.0857490196,,56.65421701299999,13.27226792,,,,,,,,,,,
1,main/cec2017_F01_D30/CA/default/1,main,cec2017,cec2017_F01_D30,F01,30,CA,default,,1,1118882044,300000,300000,,ok,1040.1339586926058,100.0,940.1339586926058,,11.083885800999951,1.514590441,,,,,,,,,,,
1,main/cec2017_F01_D30/GA/default/1,main,cec2017,cec2017_F01_D30,F01,30,GA,default,,1,1118882044,300000,300000,,ok,725.5347641333315,100.0,625.5347641333315,,4.03103132800004,0.693699803,,,,,,,,,,,
1,main/cec2017_F01_D30/PSO/default/1,main,cec2017,cec2017_F01_D30,F01,30,PSO,default,,1,1118882044,300000,300000,,ok,88125466477.91933,100.0,88125466377.91933,,1.6937777629999573,0.689151922,,,,,,,,,,,
1,main/cec2017_F01_D30/GWO/default/1,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,1,1118882044,300000,300000,,ok,271769.8822693712,100.0,271669.8822693712,,1.736447304999956,0.594233386,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/0,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,0,1764355132,300000,300000,,ok,100.00000000000003,100.0,2.842170943040401e-14,,83.19027567,0.575944162,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/0,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,0,1764355132,300000,300000,,ok,100.0,100.0,0.0,,113.34190380100006,9.721587218,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/1,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,1,1118882044,300000,300000,300000,ok,758303.1447977889,100.0,758203.1447977889,,50.041091467,12.408681714,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO/full/2,main,cec2017,cec2017_F01_D30,F01,30,TFO,full,,2,1516071871,300000,300000,300000,ok,509316.9069905878,100.0,509216.9069905878,,57.56829501900006,14.116973794,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/1,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,1,1118882044,300000,300000,,ok,118.92993008748972,100.0,18.929930087489723,,85.956910128,14.635740268,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/1,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,1,1118882044,300000,300000,,ok,100.00000000000003,100.0,2.842170943040401e-14,,76.11044594300006,0.740450769,,,,,,,,,,,
1,main/cec2017_F01_D30/GA/default/2,main,cec2017,cec2017_F01_D30,F01,30,GA,default,,2,1516071871,300000,300000,,ok,441.9900459009643,100.0,341.9900459009643,,2.5414645860000746,0.439784058,,,,,,,,,,,
